image_path,score
aardvark/aardvark_01b.jpg,0.825
aardvark/aardvark_02s.jpg,0.8
aardvark/aardvark_03s.jpg,0.87804878
aardvark/aardvark_04s.jpg,0.731707317
aardvark/aardvark_05s.jpg,0.825
aardvark/aardvark_06s.jpg,0.619047619
aardvark/aardvark_07s.jpg,0.722222222
aardvark/aardvark_08s.jpg,0.794871795
aardvark/aardvark_09s.jpg,0.75
aardvark/aardvark_10s.jpg,0.80952381
aardvark/aardvark_11s.jpg,0.815789474
aardvark/aardvark_12s.jpg,0.837209302
aardvark/aardvark_13s.jpg,0.682926829
aardvark/aardvark_14s.jpg,0.825
abacus/abacus_01b.jpg,0.648648649
abacus/abacus_02s.jpg,0.785714286
abacus/abacus_03s.jpg,0.780487805
abacus/abacus_04s.jpg,0.825
abacus/abacus_05s.jpg,0.87804878
abacus/abacus_06s.jpg,0.897435897
abacus/abacus_07s.jpg,0.763157895
abacus/abacus_08s.jpg,0.756097561
abacus/abacus_09s.jpg,0.789473684
abacus/abacus_10s.jpg,0.743589744
abacus/abacus_11s.jpg,0.833333333
abacus/abacus_12s.jpg,0.926829268
abacus/abacus_13s.jpg,0.794871795
abacus/abacus_14s.jpg,0.756097561
accordion/accordion_01b.jpg,0.725
accordion/accordion_02s.jpg,0.714285714
accordion/accordion_03s.jpg,0.65
accordion/accordion_04s.jpg,0.769230769
accordion/accordion_05s.jpg,0.804878049
accordion/accordion_06s.jpg,0.666666667
accordion/accordion_07s.jpg,0.756097561
accordion/accordion_08s.jpg,0.820512821
accordion/accordion_09s.jpg,0.853658537
accordion/accordion_10s.jpg,0.775
accordion/accordion_11s.jpg,0.692307692
accordion/accordion_12s.jpg,0.682926829
accordion/accordion_13s.jpg,0.8
accordion/accordion_14s.jpg,0.829268293
acorn/acorn_01b.jpg,0.714285714
acorn/acorn_02n.jpg,0.585365854
acorn/acorn_03s.jpg,0.875
acorn/acorn_04s.jpg,0.871794872
acorn/acorn_05s.jpg,0.85
acorn/acorn_06s.jpg,0.578947368
acorn/acorn_07s.jpg,0.75
acorn/acorn_08s.jpg,0.87804878
acorn/acorn_09s.jpg,0.658536585
acorn/acorn_10s.jpg,0.85
acorn/acorn_11s.jpg,0.820512821
acorn/acorn_12s.jpg,0.87804878
acorn/acorn_13s.jpg,0.775
acorn/acorn_14n.jpg,0.846153846
acorn/acorn_15n.jpg,0.682926829
acorn/acorn_16n.jpg,0.575
air_conditioner/air_conditioner_01b.jpg,0.65
air_conditioner/air_conditioner_02s.jpg,0.738095238
air_conditioner/air_conditioner_03s.jpg,0.820512821
air_conditioner/air_conditioner_04s.jpg,0.775
air_conditioner/air_conditioner_05s.jpg,0.761904762
air_conditioner/air_conditioner_06s.jpg,0.666666667
air_conditioner/air_conditioner_07s.jpg,0.829268293
air_conditioner/air_conditioner_08s.jpg,0.880952381
air_conditioner/air_conditioner_09s.jpg,0.76744186
air_conditioner/air_conditioner_10s.jpg,0.897435897
air_conditioner/air_conditioner_11s.jpg,0.926829268
air_conditioner/air_conditioner_12s.jpg,0.813953488
air_conditioner/air_conditioner_13s.jpg,0.8
air_mattress/air_mattress_01b.jpg,0.804878049
air_mattress/air_mattress_02s.jpg,0.85
air_mattress/air_mattress_03s.jpg,0.780487805
air_mattress/air_mattress_04s.jpg,0.85
air_mattress/air_mattress_05s.jpg,0.85
air_mattress/air_mattress_06s.jpg,0.794871795
air_mattress/air_mattress_07s.jpg,0.738095238
air_mattress/air_mattress_08s.jpg,0.880952381
air_mattress/air_mattress_09s.jpg,0.813953488
air_mattress/air_mattress_10s.jpg,0.833333333
air_mattress/air_mattress_11s.jpg,0.769230769
air_mattress/air_mattress_12s.jpg,0.731707317
air_mattress/air_mattress_13s.jpg,0.780487805
air_pump/air_pump_01s.jpg,0.634146341
air_pump/air_pump_02s.jpg,0.634146341
air_pump/air_pump_03s.jpg,0.615384615
air_pump/air_pump_04s.jpg,0.775
air_pump/air_pump_05s.jpg,0.8
air_pump/air_pump_06s.jpg,0.775
air_pump/air_pump_07s.jpg,0.761904762
air_pump/air_pump_08s.jpg,0.785714286
air_pump/air_pump_09s.jpg,0.775
air_pump/air_pump_10s.jpg,0.675
air_pump/air_pump_11s.jpg,0.837209302
air_pump/air_pump_12s.jpg,0.666666667
air_pump/air_pump_13s.jpg,0.692307692
airbag/airbag_01b.jpg,0.8
airbag/airbag_02s.jpg,0.925
airbag/airbag_03s.jpg,0.743589744
airbag/airbag_04s.jpg,0.85
airbag/airbag_05s.jpg,0.904761905
airbag/airbag_06s.jpg,0.902439024
airbag/airbag_07s.jpg,0.578947368
airbag/airbag_08s.jpg,0.769230769
airbag/airbag_09s.jpg,0.783783784
airbag/airbag_10s.jpg,0.769230769
airbag/airbag_11s.jpg,0.7
airbag/airbag_12s.jpg,0.675
airbag/airbag_13s.jpg,0.925
airbag/airbag_14s.jpg,0.820512821
airbag/airbag_15s.jpg,0.775
airbag/airbag_16s.jpg,0.8
airboat/airboat_01s.jpg,0.775
airboat/airboat_02s.jpg,0.674418605
airboat/airboat_03s.jpg,0.717948718
airboat/airboat_04s.jpg,0.731707317
airboat/airboat_05s.jpg,0.928571429
airboat/airboat_06s.jpg,0.829268293
airboat/airboat_07s.jpg,0.650609756
airboat/airboat_08s.jpg,0.75
airboat/airboat_09s.jpg,0.853658537
airboat/airboat_10s.jpg,0.627906977
airboat/airboat_11s.jpg,0.789473684
airboat/airboat_12s.jpg,0.717948718
airboat/airboat_13s.jpg,0.619047619
aircraft_carrier/aircraft_carrier_01b.jpg,0.875
aircraft_carrier/aircraft_carrier_02s.jpg,0.785714286
aircraft_carrier/aircraft_carrier_03s.jpg,0.9
aircraft_carrier/aircraft_carrier_04s.jpg,0.756097561
aircraft_carrier/aircraft_carrier_05s.jpg,0.756097561
aircraft_carrier/aircraft_carrier_06s.jpg,0.692307692
aircraft_carrier/aircraft_carrier_07s.jpg,0.725
aircraft_carrier/aircraft_carrier_08s.jpg,0.634146341
aircraft_carrier/aircraft_carrier_09s.jpg,0.536585366
aircraft_carrier/aircraft_carrier_10s.jpg,0.772727273
aircraft_carrier/aircraft_carrier_11s.jpg,0.769230769
aircraft_carrier/aircraft_carrier_12s.jpg,0.725
aircraft_carrier/aircraft_carrier_13s.jpg,0.75
aircraft_carrier/aircraft_carrier_14s.jpg,0.825
aircraft_carrier/aircraft_carrier_15s.jpg,0.710526316
aircraft_carrier/aircraft_carrier_16s.jpg,0.7
