set,file,mem
lamem,00047501.jpg,0.8991966
lamem,00051055.jpg,0.8028206000000001
lamem,00043794.jpg,0.6857546
lamem,00050151.jpg,0.6182372
memcat,n02932891_3734.jpg,0.8
lamem,00053357.jpg,0.8237287999999999
lamem,00047753.jpg,0.7669178
lamem,00018464.jpg,0.9073356
lamem,00009099.jpg,0.6479428
memcat,n09288635_6850.jpg,0.714285714285714
lamem,00043681.jpg,0.5782034
memcat,n01514668_23654.jpg,0.855855855855856
lamem,00029918.jpg,0.8523249999999999
memcat,1220fa5cbeeaea92.jpg,0.532710280373832
lamem,00011583.jpg,0.6683334000000001
lamem,00014830.jpg,0.6702632000000001
lamem,00013925.jpg,0.6511924
memcat,ac260e25915895d8.jpg,0.821428571428571
lamem,00017996.jpg,0.8307148
lamem,00050200.jpg,0.6035334
lamem,00004823.jpg,0.7931748
memcat,n07720875_3180.jpg,0.882352941176471
lamem,00015617.jpg,0.8174192
lamem,00010015.jpg,0.7020168
memcat,n01811909_12450.jpg,0.698924731182796
lamem,00000520.jpg,0.5632272
lamem,00035648.jpg,0.5226257999999999
lamem,00012778.jpg,0.8056011999999999
lamem,00044095.jpg,0.7430852
lamem,00057117.jpg,0.8942882000000001
lamem,00023029.jpg,0.8390954
lamem,00043857.jpg,0.8655654
lamem,00022762.jpg,0.8850844
lamem,00010767.jpg,0.8104878
lamem,00043511.jpg,0.8092309999999999
lamem,00049726.jpg,0.9110814
memcat,eabaa6a885b0d2b4.jpg,0.801801801801802
lamem,00015165.jpg,0.812714
lamem,00038589.jpg,0.6825530000000001
lamem,00019220.jpg,0.5864662
memcat,ca300af88da8ccbb.jpg,0.536842105263158
memcat,n07711569_5408.jpg,0.797979797979798
lamem,00013471.jpg,0.8072788
memcat,n02129165_15707.jpg,0.877358490566038
lamem,00032395.jpg,0.8268661999999999
lamem,00018272.jpg,0.841022
lamem,00011558.jpg,0.7067439999999999
lamem,00004703.jpg,0.6080908
lamem,00018297.jpg,0.8419696
lamem,00024566.jpg,0.7250172
lamem,00046366.jpg,0.6258846
lamem,00007820.jpg,0.9720102
lamem,00045809.jpg,0.837556
lamem,00056947.jpg,0.8291888000000001
lamem,00000737.jpg,0.685255
lamem,00035774.jpg,0.7320634
lamem,00042373.jpg,0.8275758
lamem,00017983.jpg,0.4199916
lamem,00037132.jpg,0.6903966
lamem,00001110.jpg,0.6962444
lamem,00002481.jpg,0.7793534
lamem,00002695.jpg,0.9141288
lamem,00007862.jpg,0.7954782
lamem,00029566.jpg,0.5755814
lamem,00007400.jpg,0.8548264
lamem,00042336.jpg,0.7691518
memcat,n09303008_22139.jpg,0.865979381443299
lamem,00014669.jpg,0.8518205999999999
lamem,00014124.jpg,0.6833980000000001
lamem,00004646.jpg,0.6517687999999999
lamem,00003432.jpg,0.7382462000000001
lamem,00026990.jpg,0.7022598
lamem,00017794.jpg,0.891231
lamem,00058185.jpg,0.655154
lamem,00005430.jpg,0.6492416000000001
lamem,00006520.jpg,0.900955
lamem,00004937.jpg,0.8676646
lamem,00008023.jpg,0.7367556000000001
memcat,000000515075.jpg,0.670212765957447
lamem,00008772.jpg,0.8489568000000001
lamem,00049582.jpg,0.6964338
lamem,00022790.jpg,0.9351438
lamem,00017802.jpg,0.8364927999999999
lamem,00022487.jpg,0.8712526
memcat,n09415671_18361.jpg,0.518518518518518
lamem,00052914.jpg,0.8625146000000001
lamem,00013916.jpg,0.761252
lamem,00046910.jpg,0.6740788
lamem,00023256.jpg,0.8037158
memcat,7e4f94776a3b4db8.jpg,0.805194805194805
lamem,00041066.jpg,0.7724462
lamem,00041544.jpg,0.735391
lamem,00000087.jpg,0.7986174
lamem,00013324.jpg,0.929792
lamem,00015980.jpg,0.9230482
lamem,00048868.jpg,0.5796142
memcat,n03790512_12141.jpg,0.861111111111111
lamem,00055540.jpg,0.6234504000000001
lamem,00031133.jpg,0.781365
lamem,00038462.jpg,0.7270826
lamem,00053045.jpg,0.8645642
lamem,00042530.jpg,0.8308405999999999
memcat,5b7b58b5eab43e92.jpg,0.84375
lamem,00004048.jpg,0.7687419999999999
lamem,00009665.jpg,0.6100214
lamem,00048296.jpg,0.7357388
lamem,00031223.jpg,0.8371064
lamem,00028906.jpg,0.552875
lamem,00050448.jpg,0.793965
lamem,00039696.jpg,0.651961
lamem,00043772.jpg,0.7400946
lamem,00013287.jpg,0.8087378
lamem,00004628.jpg,0.7774452000000001
lamem,00036227.jpg,0.6172476
lamem,00027657.jpg,0.719595
lamem,00012598.jpg,0.7194644
lamem,00005326.jpg,0.7945026000000001
lamem,00033166.jpg,0.9817932
lamem,00012762.jpg,0.7278846
lamem,00026286.jpg,0.7305964
lamem,00012948.jpg,0.745799
lamem,00022643.jpg,0.8437509999999999
lamem,00032957.jpg,0.81899
lamem,00033317.jpg,0.7778112
lamem,00054016.jpg,0.9451944
lamem,00011575.jpg,0.7955472
lamem,00001822.jpg,0.5082926
lamem,00025783.jpg,0.7114456
lamem,00055550.jpg,0.8391216
memcat,c0256abf502efa34.jpg,0.821428571428571
lamem,00017544.jpg,0.680758
lamem,00041475.jpg,0.7753593999999999
lamem,00016899.jpg,0.7157167999999999
lamem,00043962.jpg,0.7578280000000001
lamem,00005139.jpg,0.7400857999999999
lamem,00017664.jpg,0.606106
memcat,000000338289.jpg,0.876288659793814
lamem,00037309.jpg,0.6775204
lamem,00049558.jpg,0.8911396
lamem,00012378.jpg,0.5378364
lamem,00039841.jpg,0.6864706
lamem,00007337.jpg,0.6909702
lamem,00005033.jpg,0.8181428000000001
lamem,00009204.jpg,0.6973634
lamem,00037109.jpg,0.717536
lamem,00058505.jpg,0.7966778
lamem,00022989.jpg,0.8136340000000001
lamem,00026959.jpg,0.6743438
memcat,000000571671.jpg,0.946902654867257
lamem,00014017.jpg,0.7676324
memcat,n07911677_742.jpg,0.831578947368421
lamem,00021961.jpg,0.6056942
memcat,781c958107e86dcb.jpg,0.568627450980392
lamem,00028529.jpg,0.6416754
memcat,n00464894_16494.jpg,0.78494623655914
lamem,00022785.jpg,0.6050768
lamem,00028849.jpg,0.8215538
lamem,00006235.jpg,0.6478956
lamem,00048538.jpg,0.6790646
lamem,00031222.jpg,0.8063551999999999
lamem,00025234.jpg,0.75686
lamem,00047002.jpg,0.8127359999999999
lamem,00001643.jpg,0.7541438
lamem,00008706.jpg,0.8940794000000001
lamem,00001153.jpg,0.9364268
lamem,00054333.jpg,0.44264
lamem,00037656.jpg,0.8420456
lamem,00039961.jpg,0.6720248
lamem,00007887.jpg,0.9177932
lamem,00046126.jpg,0.8273808
lamem,00042846.jpg,0.598155
lamem,00025315.jpg,0.8422312
lamem,00045137.jpg,0.7705740000000001
lamem,00042879.jpg,0.7914264
memcat,n02396427_5137.jpg,0.827160493827161
lamem,00008200.jpg,0.8096968
lamem,00026975.jpg,0.6326228
memcat,39d1ce9574b2df8f.jpg,0.484210526315789
lamem,00032186.jpg,0.8441456
memcat,4656464d55472d7f.jpg,0.84
lamem,00038381.jpg,0.6326826000000001
lamem,00009630.jpg,0.4382664
memcat,000000414314.jpg,0.849462365591398
lamem,00017833.jpg,0.6919500000000001
lamem,00005882.jpg,0.812797
lamem,00016973.jpg,0.8114606
lamem,00015038.jpg,0.8344368
lamem,00020360.jpg,0.7242538
lamem,00029315.jpg,0.5489126
lamem,00026944.jpg,0.8490152
lamem,00033641.jpg,0.6980618
lamem,00005671.jpg,0.7744636
memcat,n07583197_1118.jpg,0.755555555555556
lamem,00008409.jpg,0.603256
lamem,00009284.jpg,0.7963388
lamem,00043660.jpg,0.8550388
memcat,087dbe6470966500.jpg,0.766990291262136
lamem,00055394.jpg,0.6071034
lamem,00027842.jpg,0.7642318
memcat,sun_aimobdamklpnaqqd.jpg,0.420168067226891
lamem,00031694.jpg,0.7879892
memcat,n07753592_18348.jpg,0.915094339622642
memcat,87490a60359ca1ab.jpg,0.548672566371681
lamem,00023211.jpg,0.6173016
lamem,00038107.jpg,0.867443
lamem,00019962.jpg,0.8256996000000001
