set,file,mem
lamem,00047597.jpg,0.5921742
lamem,00036042.jpg,0.5865374
lamem,00022774.jpg,0.7068866
lamem,00050310.jpg,0.9238488
lamem,00055021.jpg,0.9289244
lamem,00045240.jpg,0.9253108
lamem,00003216.jpg,0.7731858
lamem,00049003.jpg,0.6324618
lamem,00007211.jpg,0.7895654000000001
lamem,00020262.jpg,0.6480018000000001
lamem,00046908.jpg,0.793202
lamem,00029057.jpg,0.9271956
lamem,00044395.jpg,0.7732688
lamem,00021299.jpg,0.8233267999999999
lamem,00044335.jpg,0.7874686000000001
lamem,00009130.jpg,0.8094442000000001
lamem,00047053.jpg,0.7347182
lamem,00041782.jpg,0.8989737999999999
lamem,00039872.jpg,0.6012712
lamem,00000763.jpg,0.8597224000000001
lamem,00024613.jpg,0.7444906
memcat,n03541923_3253.jpg,0.816326530612245
memcat,n02396427_104.jpg,0.92
lamem,00031761.jpg,0.8064741999999999
lamem,00022038.jpg,0.8000033999999999
lamem,00035258.jpg,0.5431782
lamem,00033052.jpg,0.951037
lamem,00038201.jpg,0.7943408
lamem,00010725.jpg,0.7099938
memcat,000000032059.jpg,0.650602409638554
lamem,00024355.jpg,0.8069098
lamem,00036274.jpg,0.5012814000000001
memcat,80f83da8bdc0ae70.jpg,0.859504132231405
memcat,n07849336_22546.jpg,0.73
lamem,00002936.jpg,0.8232822000000001
lamem,00024955.jpg,0.7387726
lamem,00054773.jpg,0.9024982
memcat,n07583197_6784.jpg,0.853658536585366
lamem,00040013.jpg,0.7640878
lamem,00025458.jpg,0.7865234
lamem,00025201.jpg,0.6791077999999999
lamem,00043315.jpg,0.8089606
memcat,n02932891_26954.jpg,0.585365853658537
lamem,00039049.jpg,0.7173214
lamem,00000114.jpg,0.8538935999999999
lamem,00016548.jpg,0.8899314
memcat,n01514859_4326.jpg,0.741935483870968
lamem,00007621.jpg,0.7626358
memcat,n09468604_25273.jpg,0.455357142857143
lamem,00035559.jpg,0.7100238
lamem,00031391.jpg,0.8655721999999999
lamem,00011711.jpg,0.8723863999999999
