image_nr,image_name,file_path,cr
1,aardvark_01b.jpg,images/aardvark/aardvark_01b.jpg,0.825
2,aardvark_02s.jpg,images/aardvark/aardvark_02s.jpg,0.8
3,aardvark_03s.jpg,images/aardvark/aardvark_03s.jpg,0.87804878
4,aardvark_04s.jpg,images/aardvark/aardvark_04s.jpg,0.731707317
5,aardvark_05s.jpg,images/aardvark/aardvark_05s.jpg,0.825
6,aardvark_06s.jpg,images/aardvark/aardvark_06s.jpg,0.619047619
7,aardvark_07s.jpg,images/aardvark/aardvark_07s.jpg,0.722222222
8,aardvark_08s.jpg,images/aardvark/aardvark_08s.jpg,0.794871795
9,aardvark_09s.jpg,images/aardvark/aardvark_09s.jpg,0.75
10,aardvark_10s.jpg,images/aardvark/aardvark_10s.jpg,0.80952381
11,aardvark_11s.jpg,images/aardvark/aardvark_11s.jpg,0.815789474
12,aardvark_12s.jpg,images/aardvark/aardvark_12s.jpg,0.837209302
13,aardvark_13s.jpg,images/aardvark/aardvark_13s.jpg,0.682926829
14,aardvark_14s.jpg,images/aardvark/aardvark_14s.jpg,0.825
15,abacus_01b.jpg,images/abacus/abacus_01b.jpg,0.648648649
16,abacus_02s.jpg,images/abacus/abacus_02s.jpg,0.785714286
17,abacus_03s.jpg,images/abacus/abacus_03s.jpg,0.780487805
18,abacus_04s.jpg,images/abacus/abacus_04s.jpg,0.825
19,abacus_05s.jpg,images/abacus/abacus_05s.jpg,0.87804878
20,abacus_06s.jpg,images/abacus/abacus_06s.jpg,0.897435897
21,abacus_07s.jpg,images/abacus/abacus_07s.jpg,0.763157895
22,abacus_08s.jpg,images/abacus/abacus_08s.jpg,0.756097561
23,abacus_09s.jpg,images/abacus/abacus_09s.jpg,0.789473684
24,abacus_10s.jpg,images/abacus/abacus_10s.jpg,0.743589744
25,abacus_11s.jpg,images/abacus/abacus_11s.jpg,0.833333333
26,abacus_12s.jpg,images/abacus/abacus_12s.jpg,0.926829268
27,abacus_13s.jpg,images/abacus/abacus_13s.jpg,0.794871795
28,abacus_14s.jpg,images/abacus/abacus_14s.jpg,0.756097561
29,accordion_01b.jpg,images/accordion/accordion_01b.jpg,0.725
30,accordion_02s.jpg,images/accordion/accordion_02s.jpg,0.714285714
31,accordion_03s.jpg,images/accordion/accordion_03s.jpg,0.65
32,accordion_04s.jpg,images/accordion/accordion_04s.jpg,0.769230769
33,accordion_05s.jpg,images/accordion/accordion_05s.jpg,0.804878049
34,accordion_06s.jpg,images/accordion/accordion_06s.jpg,0.666666667
35,accordion_07s.jpg,images/accordion/accordion_07s.jpg,0.756097561
36,accordion_08s.jpg,images/accordion/accordion_08s.jpg,0.820512821
37,accordion_09s.jpg,images/accordion/accordion_09s.jpg,0.853658537
38,accordion_10s.jpg,images/accordion/accordion_10s.jpg,0.775
39,accordion_11s.jpg,images/accordion/accordion_11s.jpg,0.692307692
40,accordion_12s.jpg,images/accordion/accordion_12s.jpg,0.682926829
41,accordion_13s.jpg,images/accordion/accordion_13s.jpg,0.8
42,accordion_14s.jpg,images/accordion/accordion_14s.jpg,0.829268293
43,acorn_01b.jpg,images/acorn/acorn_01b.jpg,0.714285714
44,acorn_02n.jpg,images/acorn/acorn_02n.jpg,0.585365854
45,acorn_03s.jpg,images/acorn/acorn_03s.jpg,0.875
46,acorn_04s.jpg,images/acorn/acorn_04s.jpg,0.871794872
47,acorn_05s.jpg,images/acorn/acorn_05s.jpg,0.85
48,acorn_06s.jpg,images/acorn/acorn_06s.jpg,0.578947368
49,acorn_07s.jpg,images/acorn/acorn_07s.jpg,0.75
50,acorn_08s.jpg,images/acorn/acorn_08s.jpg,0.87804878
51,acorn_09s.jpg,images/acorn/acorn_09s.jpg,0.658536585
52,acorn_10s.jpg,images/acorn/acorn_10s.jpg,0.85
53,acorn_11s.jpg,images/acorn/acorn_11s.jpg,0.820512821
54,acorn_12s.jpg,images/acorn/acorn_12s.jpg,0.87804878
55,acorn_13s.jpg,images/acorn/acorn_13s.jpg,0.775
56,acorn_14n.jpg,images/acorn/acorn_14n.jpg,0.846153846
57,acorn_15n.jpg,images/acorn/acorn_15n.jpg,0.682926829
58,acorn_16n.jpg,images/acorn/acorn_16n.jpg,0.575
59,air_conditioner_01b.jpg,images/air_conditioner/air_conditioner_01b.jpg,0.65
60,air_conditioner_02s.jpg,images/air_conditioner/air_conditioner_02s.jpg,0.738095238
61,air_conditioner_03s.jpg,images/air_conditioner/air_conditioner_03s.jpg,0.820512821
62,air_conditioner_04s.jpg,images/air_conditioner/air_conditioner_04s.jpg,0.775
63,air_conditioner_05s.jpg,images/air_conditioner/air_conditioner_05s.jpg,0.761904762
64,air_conditioner_06s.jpg,images/air_conditioner/air_conditioner_06s.jpg,0.666666667
65,air_conditioner_07s.jpg,images/air_conditioner/air_conditioner_07s.jpg,0.829268293
66,air_conditioner_08s.jpg,images/air_conditioner/air_conditioner_08s.jpg,0.880952381
67,air_conditioner_09s.jpg,images/air_conditioner/air_conditioner_09s.jpg,0.76744186
68,air_conditioner_10s.jpg,images/air_conditioner/air_conditioner_10s.jpg,0.897435897
69,air_conditioner_11s.jpg,images/air_conditioner/air_conditioner_11s.jpg,0.926829268
70,air_conditioner_12s.jpg,images/air_conditioner/air_conditioner_12s.jpg,0.813953488
71,air_conditioner_13s.jpg,images/air_conditioner/air_conditioner_13s.jpg,0.8
72,air_mattress_01b.jpg,images/air_mattress/air_mattress_01b.jpg,0.804878049
73,air_mattress_02s.jpg,images/air_mattress/air_mattress_02s.jpg,0.85
