timepoint_ms,image_path,pred_score_mean,pred_score_std,n_folds,true_score
50,sequin_04s.jpg,0.963080701,0.034172418347669514,10,0.8974359
50,navel_03s.jpg,0.939109567,0.019659484919525367,10,0.8636364
50,needle_06s.jpg,0.938821789,0.016387365540714245,10,0.85365856
50,rosary_03s.jpg,0.937491592,0.014589427802390758,10,0.825
50,rust_10s.jpg,0.935859632,0.010736102477004928,10,0.725
50,paper_plate_06s.jpg,0.933029149,0.022893306625883507,10,0.8292683
50,shutter_11s.jpg,0.9313550740000001,0.01438893411659206,10,0.75
50,chicken_wire_07s.jpg,0.9298353629999999,0.020378675272330424,10,0.84210527
50,hot-water_bottle_10s.jpg,0.928701665,0.01647655273418107,10,0.6511628
50,mallet_12s.jpg,0.9280976109999999,0.012318278276350576,10,0.65182924
150,navel_06s.jpg,1.0271937100000001,0.014811064527984205,10,0.88095236
150,navel_02s.jpg,1.0226906599999999,0.014534004657293317,10,0.85
150,navel_11s.jpg,1.0137631900000001,0.01602230670010131,10,0.875
150,deodorant_12s.jpg,1.005868425,0.01544020195052244,10,0.85
150,slime_01b.jpg,0.9979998480000001,0.02433788005205503,10,0.8974359
150,stomach_09s.jpg,0.996580078,0.01853636826038528,10,0.902439
150,lipstick_03s.jpg,0.994150673,0.035651440419733726,10,0.8780488
150,slime_06s.jpg,0.99141586,0.012310581215086647,10,0.85
150,neck_02s.jpg,0.987385669,0.017122881557877428,10,0.925
150,lipstick_08s.jpg,0.986310077,0.030208173123176422,10,0.88372093
250,navel_06s.jpg,1.05139041,0.012634728407620427,10,0.88095236
250,navel_02s.jpg,1.0272235200000002,0.011910335863610289,10,0.85
250,stomach_09s.jpg,1.019145985,0.011995652299758129,10,0.902439
250,slime_01b.jpg,1.01539936,0.01318567532026915,10,0.8974359
250,tongue_07s.jpg,1.008932856,0.009272816323871,10,0.8974359
250,slime_04s.jpg,1.007477806,0.015350609754589328,10,0.8095238
250,knee_13s.jpg,1.006102646,0.014511869354311462,10,0.8974359
250,lipstick_03s.jpg,0.9954013420000001,0.014314808335067914,10,0.8780488
250,deodorant_12s.jpg,0.99465559,0.012158205428964862,10,0.85
250,navel_03s.jpg,0.9937697700000001,0.011893024844191514,10,0.8636364
350,navel_06s.jpg,1.0538827400000002,0.02053967587238586,10,0.88095236
350,slime_01b.jpg,1.02999271,0.01620534820383902,10,0.8974359
350,stomach_09s.jpg,1.02574547,0.015714683488172617,10,0.902439
350,rolling_pin_09s.jpg,1.015694757,0.018626414190414893,10,0.64285713
350,slime_04s.jpg,1.010481595,0.01793933296602201,10,0.8095238
350,hand_08s.jpg,1.008838155,0.018437377750848135,10,0.84615386
350,navel_04s.jpg,1.0074977920000001,0.014846263361012052,10,0.925
350,thumb_07s.jpg,1.001744819,0.017854795822132903,10,0.88372093
350,marker_11s.jpg,1.0015138000000001,0.026955861159763457,10,0.8780488
350,funnel_01b.jpg,1.000854296,0.021052320106261808,10,0.85
400,navel_06s.jpg,1.04072874,0.015377686635237293,10,0.88095236
400,stomach_09s.jpg,1.03438621,0.013486947451390072,10,0.902439
400,tape_measure_11s.jpg,1.025168613,0.02428853360409485,10,0.8863636
400,slime_01b.jpg,1.01793692,0.014625669506787623,10,0.8974359
400,navel_04s.jpg,1.0152603599999999,0.014806310763334767,10,0.925
400,rolling_pin_05s.jpg,1.012624684,0.012388806444847453,10,0.7804878
400,rolling_pin_09s.jpg,1.0124366999999999,0.020173426953241695,10,0.64285713
400,thumb_07s.jpg,1.01153415,0.01687909412868474,10,0.88372093
400,slime_04s.jpg,1.01092228,0.014933510568353008,10,0.8095238
400,needle_12s.jpg,1.010710046,0.020618929672174352,10,0.82051283
500,navel_06s.jpg,1.05359216,0.017079202380946647,10,0.88095236
500,stomach_09s.jpg,1.03884549,0.014544238098944144,10,0.902439
500,slime_01b.jpg,1.02579596,0.01494750193445189,10,0.8974359
500,slime_04s.jpg,1.025160316,0.019014663765932093,10,0.8095238
500,navel_04s.jpg,1.016734,0.013056713572973404,10,0.925
500,knee_13s.jpg,1.014318085,0.024275446834244842,10,0.8974359
500,rolling_pin_09s.jpg,1.01356213,0.019499042984837858,10,0.64285713
500,thumb_07s.jpg,1.011358422,0.02384154661713691,10,0.88372093
500,navel_03s.jpg,1.00987942,0.012062747846324228,10,0.8636364
500,tape_measure_11s.jpg,1.005953725,0.022690498424117387,10,0.8863636
600,navel_06s.jpg,1.05775225,0.01357074226851033,10,0.88095236
600,stomach_09s.jpg,1.0319578,0.013906929588518078,10,0.902439
600,slime_01b.jpg,1.0207496600000001,0.012297354767067236,10,0.8974359
600,tape_measure_11s.jpg,1.018363323,0.03241111089864635,10,0.8863636
600,needle_12s.jpg,1.01308197,0.01620890694203861,10,0.82051283
600,navel_04s.jpg,1.0130045239999999,0.01451621440621117,10,0.925
600,rolling_pin_05s.jpg,1.0118881,0.016160467101678868,10,0.7804878
600,peppermint_06s.jpg,1.0103646099999999,0.024060708837459484,10,0.8947368
600,thumb_07s.jpg,1.010188445,0.017547190993186367,10,0.88372093
600,pasta_10s.jpg,1.006801361,0.01729032018166134,10,0.80487806
700,navel_06s.jpg,1.0465809350000002,0.026314050444497993,10,0.88095236
700,navel_04s.jpg,1.0225561349999999,0.021099754659869747,10,0.925
700,peppermint_06s.jpg,1.010475536,0.013711833386436839,10,0.8947368
700,funnel_01b.jpg,1.010457525,0.020344441082397392,10,0.85
700,stomach_09s.jpg,1.009856726,0.013848922576691874,10,0.902439
700,bra_04s.jpg,1.007390026,0.01810932436199907,10,0.82051283
700,straw2_12s.jpg,1.005975115,0.013799935455701875,10,0.8292683
700,tape_measure_11s.jpg,1.00590872,0.019280838093748236,10,0.8863636
700,stomach_01b.jpg,1.005159274,0.0177983263069557,10,0.825
700,rolling_pin_05s.jpg,1.001456409,0.019386500342510105,10,0.7804878
800,navel_06s.jpg,1.05945949,0.016425610748357446,10,0.88095236
800,string_cheese_02s.jpg,1.0185690749999998,0.01745251383566356,10,0.8947368
800,rolling_pin_05s.jpg,1.015483345,0.021401711380744624,10,0.7804878
800,navel_04s.jpg,1.015252555,0.0105775969607271,10,0.925
800,peppermint_06s.jpg,1.010963002,0.016344084893547436,10,0.8947368
800,straw2_12s.jpg,1.00850204,0.023264054106243492,10,0.8292683
800,stomach_09s.jpg,1.006794045,0.018412049870214692,10,0.902439
800,bra_04s.jpg,1.003738353,0.022185860508724974,10,0.82051283
800,thumb_07s.jpg,1.00351433,0.012439931780807049,10,0.88372093
800,deodorant_12s.jpg,1.0024131969999999,0.017345995012369764,10,0.85
900,navel_06s.jpg,1.02272483,0.010290969288550412,10,0.88095236
900,wand_01s.jpg,1.002924973,0.01881523908413254,10,0.65789473
900,stockings_09s.jpg,1.002130044,0.020787914900875126,10,0.9047619
900,bra_04s.jpg,0.999934119,0.017200264452885874,10,0.82051283
900,tick_10s.jpg,0.9992531610000001,0.01852445024416431,10,0.875
900,tape_measure_11s.jpg,0.998939981,0.01780205428875021,10,0.8863636
900,string_cheese_02s.jpg,0.996813711,0.017280823301371106,10,0.8947368
900,stomach_01b.jpg,0.994009178,0.010125917321038447,10,0.825
900,calf2_04s.jpg,0.992324122,0.014300146789473323,10,0.81578946
900,elbow_06s.jpg,0.989417485,0.010085140343018644,10,0.8333333
1000,navel_06s.jpg,1.01978999,0.019314000365506307,10,0.88095236
1000,string_cheese_02s.jpg,1.018769653,0.019447923637330087,10,0.8947368
1000,wand_01s.jpg,1.017520784,0.01793045457301641,10,0.65789473
1000,pantyhose_01b.jpg,1.01707268,0.013079953778103838,10,0.70731705
1000,bra_04s.jpg,1.013007323,0.017507947992882206,10,0.82051283
1000,stomach_01b.jpg,1.005543402,0.01896476261185865,10,0.825
1000,calf2_06s.jpg,1.004322288,0.01806718850940551,10,0.95
1000,calf2_04s.jpg,0.9995430409999999,0.01709147523233373,10,0.81578946
1000,peppermint_06s.jpg,0.9980819200000001,0.019776490963911392,10,0.8947368
1000,stockings_09s.jpg,0.9962588459999999,0.019403884665975858,10,0.9047619
1100,navel_04s.jpg,1.03118906,0.01462514572274595,10,0.925
1100,stomach_09s.jpg,1.02938412,0.014306157161384062,10,0.902439
1100,navel_12s.jpg,1.02868784,0.018377191203421458,10,0.8974359
1100,navel_06s.jpg,1.018007806,0.014724469762704657,10,0.88095236
1100,thumb_07s.jpg,1.01226413,0.0231289218601132,10,0.88372093
1100,toilet_paper_08s.jpg,1.007752062,0.02018018558728327,10,0.84615386
1100,deodorant_12s.jpg,1.005177427,0.014914175952829444,10,0.85
1100,navel_05s.jpg,1.004625324,0.016546686141110736,10,0.82051283
1100,straw2_12s.jpg,1.0042339999999998,0.012673454601362643,10,0.8292683
1100,slime_01b.jpg,1.003465814,0.011483127208414412,10,0.8974359
1200,navel_04s.jpg,1.02732596,0.01890721597469545,10,0.925
1200,navel_12s.jpg,1.01558532,0.01563882026353364,10,0.8974359
1200,navel_06s.jpg,1.0142309109999998,0.01607131133574943,10,0.88095236
1200,deodorant_12s.jpg,1.003693236,0.013575771029139634,10,0.85
1200,straw2_12s.jpg,1.002663429,0.02367330449151931,10,0.8292683
1200,deodorant_04s.jpg,1.001584791,0.013970474638144279,10,0.7804878
1200,funnel_01b.jpg,0.9965396099999999,0.0211920355644227,10,0.85
1200,butter_06s.jpg,0.981834092,0.016525816577391692,10,0.8
1200,toilet_paper_03s.jpg,0.981327847,0.013305518001948662,10,0.8780488
1200,thumb_05s.jpg,0.980109573,0.01495135794591549,10,0.7906977
1300,needle_07s.jpg,0.987684011,0.015479149307085042,10,0.7948718
1300,ankle_04s.jpg,0.9862454509999999,0.01188895654034396,10,0.8684211
1300,foot_02s.jpg,0.9843893149999999,0.014474778790378215,10,0.8974359
1300,tortellini_11s.jpg,0.979701234,0.011896269855969518,10,0.9
1300,peppermint_06s.jpg,0.97830657,0.01370897189173736,10,0.8947368
1300,ankle_12s.jpg,0.969384962,0.011944733450454964,10,0.875
1300,saucer_01b.jpg,0.9688207240000001,0.01622584978662007,10,0.75609756
1300,knee_05s.jpg,0.968100059,0.010464557764714907,10,0.9230769
1300,gauze_10s.jpg,0.9664886960000001,0.017600238423872577,10,0.84210527
1300,funnel_01b.jpg,0.9659508640000001,0.01376691721142328,10,0.85
